modes, 0.13blue, 0.13red, 0.17blue, 0.17red, 0.19blue, 0.19red
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0.01384561797129212,0.05188490862299361,-0.09514975346985473,-0.05692568859158716,-0.09448966702267733,-0.1135315758954891
5,0.03994826851578722,0.06819476175284861,0.05562905999830354,0.02347686398965536,0.08757837739067942,0.05436335548130512
6,0.01173820417845566,0.019591923835136,0.02259468020811475,0.01860232789008774,0.02897745087029018,0.02995009067363694
7,0.0216897838303087,0.02575749354003764,-0.02200630240089719,-0.03642779548502673,-0.04215639009552355,-0.06058696874343784
8,0.06060415500475279,0.06256284009222107,0.0104867386647034,0.06382403991638737,0.01310675377417037,0.04909383653369162
9,-0.02684009804582334,-0.03642698096234211,-0.03508397712876088,-0.01987137696589124,-0.01435541754874278,-0.02422559204512972
10,0.01259933766199246,0.01152648464184706,-0.0035127090690371,-0.01549230109708112,0.003727584258554782,-0.008157385927966641
11,-0.03255389366237792,-0.09979184545075853,0.3577898797535528,0.3935433553018026,0.5277300718982363,0.6201110092975858
12,0.008328430871462537,0.005933736430549006,0.01121618324736362,-0.006685345637680053,-0.005653250269559268,-0.01182197262746
13,0.006770760931573521,0.01942825375933051,-0.005034960462959734,-0.0003119698827481406,-0.003067394658134695,0.0009559879291650767
14,-0.01680303869357104,-0.02965382287250803,-0.01437279455365546,-0.007233746350209073,-0.01876209482654165,-0.000970813496446217
15,-0.01330021240379395,-0.03866283884200179,-0.02323998840842484,-0.02215694434290861,-0.02109738746945139,-0.03166733604649904
16,-0.04066951437572287,-0.0339407673250981,-0.04116848961125251,-0.05258245942676542,-0.05886707434958864,-0.07548691276809946
17,-0.02265820765181014,0.007826976327501622,-0.03942686933974668,-0.05974370132131988,-0.02921087704656713,-0.09205575272637675
18,-0.003667847552287215,0.003890095742354428,-0.005221974598901591,-0.004388303883224546,0.001501419376475145,-0.007885978180447869
19,0.01285863816783358,0.002062133600229538,0.001902845174838236,0.006327721734303524,0.005685389819226418,0.0005595878706576446
20,-0.008672747409134682,-0.01076282942976539,-0.0080725497059811,-0.003058758693859825,-0.006492731272094872,-0.004393168753305011
21,0.009568080334019801,0.008640535289138057,0.004951308196852506,0.005542842340019035,0.006077892447755618,0.001005470861464696
22,-0.05317290195342524,-0.2070445643720808,0.05967791578995537,0.004101786789222935,0.1040901739007818,0.132532982804387
23,0.00995464762617956,0.0209802506430274,0.001891214875194579,0.002203495356088879,0.01373538577418795,-0.01347298883888773
24,-0.01129973732174066,-0.01742877406733981,-0.01362719005976579,-0.02333326533510156,-0.0183217618575615,-0.03292621075674271
25,0.001723205589603295,-0.009620116701974967,-0.0007582765116220246,0.001441054110423037,-0.002775252422908193,-0.006343972705106375
26,0.005744569066839868,-0.00263659453169743,0.001162569857690513,0.00772748914099497,0.001043945814361708,0.00668161699043358
27,0.009661492068457076,0.007164835373610812,0.004118933731140355,0.004390503961983983,0.002088094525996119,0.002679150294707114
28,-0.003656837913152443,-0.006226560530109557,-0.008721571154075562,-0.008860495908334398,-0.008461886601929957,-0.003641896723140257
29,-0.01671060771144718,0.01897725032561445,-0.01511993348525995,-0.03713791266994487,-0.0167088684947719,-0.0606792602059693
30,0.0027358356712729,0.006260856209870492,-0.01158187588737044,-0.01705657992600041,-0.004441560818913688,-0.01946713902882012
31,0.01535080515388263,0.01788309610987055,0.01182354714105293,0.01747589839291418,0.01559636356168059,0.01728331732127188
32,-0.001106147657611665,0.004348323843344892,-4.559121594385765e-05,-0.003091041563127075,0.009108734093314258,-0.001168475816331233
33,0.006343616039037404,0.009967586880244643,0.004634773290841079,0.003549697719081986,0.002846560238841872,0.007857397379719957
34,0.006582211213275302,0.00520408886606811,0.007622725379714233,0.007800503552230355,0.007147889701990737,0.005826737407763774
35,0.007831478199454251,0.007026066303332124,0.00816917939046558,0.005818154559052985,0.0101341516826243,0.006477803699594243
36,-0.009571106935884109,-0.01457590071333145,-0.009560543741022897,-0.01111736069491489,-0.009216833710994273,-0.01129190002926849
37,-0.003318423755105092,-0.1117171935014517,-0.03119587262210114,-0.06398477107487328,-0.01668636058225464,-0.0009510557750607872
56,-0.07236287454174446,-0.1664382341898191,-0.1096025289915356,-0.09377045261499602,-0.1645178689852487,-0.09958002492362451
